Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
Allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,spotting_urination,,,,,,,,,,,,
Drug Reaction,itching,stomach_pain,burning_micturition,spotting_urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,burning_micturition,spotting_urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,spotting_urination,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,,,,,,,,,,,,,
Drug Reaction,skin_rash,stomach_pain,burning_micturition,spotting_urination,,,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,
AIDS,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,,
AIDS,muscle_wasting,high_fever,extra_marital_contacts,,,,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,extra_marital_contacts,,,,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,high_fever,,,,,,,,,,,,,,
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,
Diabetes,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria,,,,,,,,
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,sunken_eyes,dehydration,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,
Bronchial Asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
Hypertension,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
